Year,Quarter,Revenue,,,,,,,,,
2005,Qtr1,"5,206",,,,,,,,,
2005,Qtr2,"6,310",,,,,,,,,
2005,Qtr3,"6,037",,,,,,,,,
2005,Qtr4,"5,551",,,,,,,,,
2006,Qtr1,"5,226",,,,,,,,,
2006,Qtr2,"6,476",,,,,,,,,
2006,Qtr3,"6,454",,,,,,,,,
2006,Qtr4,"5,932",,,,,,,,,
2007,Qtr1,"6,103",,,,,,,,,
2007,Qtr2,"7,733",,,,,,,,,
2007,Qtr3,"7,690",,,,,,,,,
2007,Qtr4,"7,331",,,,,,,,,
2008,Qtr1,"7,379",,,,,,,,,
2008,Qtr2,"9,046",,,,,,,,,
2008,Qtr3,"8,393",,,,,,,,,
2008,Qtr4,"7,126",,,,,,,,,
2009,Qtr1,"7,169",,,,,,,,,
2009,Qtr2,"8,267",,,,,,,,,
2009,Qtr3,"8,044",,,,,,,,,
2009,Qtr4,"7,510",,,,,,,,,
2010,Qtr1,"7,525",,,,,,,,,
2010,Qtr2,"8,674",,,,,,,,,
2010,Qtr3,"8,426",,,,,,,,,
2010,Qtr4,"10,494",,,,,,,,,
